id,report_ref,publisher,title,url,published,reliability,source_type,accessed,sha256
S1,[5],BSI,Deutsche Institutionen über TerminalFix-Kampagne kompromittiert (BITS-B Nr. 2026-287419-1032),https://www.bsi.bund.de/SharedDocs/Cybersicherheitswarnungen/DE/2026/2026-287419-1032.pdf?__blob=publicationFile&v=2,2026-09-04,A,government,2026-09-24,7b7f6d40a69e3f5ccc9263edbf202507fbb20b89cc33307e766ddec7359cc381
S2,[6],Malwarebytes,"TerminalFix looks like ClickFix, but delivers a very different payload",https://www.malwarebytes.com/blog/news/2026/09/terminalfix-looks-like-clickfix-but-delivers-a-very-different-payload,2026-09-01,B,primary,2026-09-24,3d7c929fb575ab81ad0a31b545146943594bd4e56aa742d72826d5078784f31c
S3,[2],RH-ISAC,TerminalFix Campaign Targets Multiple Critical Sectors with ClickFix Variant,https://rhisac.org/threat-intelligence/terminalfix-campaign-targets-multiple-critical-sectors-with-clickfix-variant/,2026-09-01,B,secondary,2026-09-24,e574a1642ea0343ad719fc36123d6aab56e1599e3bf71027bdb62fb05154e981
S4,[14],Dark Reading,'TerminalFix' Campaign Uses PowerShell for Enterprise Attacks,https://www.darkreading.com/threat-intelligence/terminalfix-campaign-weaponizes-powershell-enterprise-attacks,2026-08-31,B,secondary,2026-09-24,ceca93ea8fe6cc165fe03d13d56dfe7ee6118d59cf55c790bcd259772efa62aa
S5,[7],heise online,BSI explains first attack vector on Berlin authorities,https://www.heise.de/en/news/BSI-explains-first-attack-vector-on-Berlin-authorities-11444212.html,2026-09-07,B,secondary,2026-09-24,5a6c9141f327de65cd69d23cf89da76350ad6fc572fa3a60ac5452da68b674a4
S6,[11],heise online,"Berlin: Passwords exfiltrated, 12,000 systems scanned",https://www.heise.de/en/news/Berlin-Passwords-exfiltrated-12-000-systems-scanned-11437104.html,2026-09-01,B,secondary,2026-09-24,0917e823ddf9989ed7738a8e837f5d646e9a1fbf1fc2e62e38303a9effd5ff81
S7,[4],BleepingComputer,Microsoft warns of TerminalFix attacks deploying reverse tunnels,https://www.bleepingcomputer.com/news/security/microsoft-warns-of-terminalfix-attacks-deploying-reverse-tunnels/,2026-08-31,B,secondary,2026-09-24,d6104bcc1d1ed98ae8fc6a87cd35439f2b43064f742068a3ab98a8b9b764dc3e
S8,[3],The Hacker News,TerminalFix Uses Fake Cloudflare CAPTCHAs to Deploy Reverse-Tunnel Backdoor,https://thehackernews.com/2026/08/terminalfix-uses-fake-cloudflare.html,2026-08-30,C,secondary,2026-09-24,0179c126e6c6217adbcf0527e6bcd2dce121acc537d5d629a73bbecb16bc9356
S10,[1],Microsoft Threat Intelligence,TerminalFix campaign deploys a reverse tunnel through multistage intrusion,https://www.microsoft.com/en-us/security/blog/2026/08/28/terminalfix-campaign-deploys-reverse-tunnel-through-multistage-intrusion/,2026-08-28,B,primary,2026-09-24,de4bafcf35c27878e4f07eff264e9b1f8834e686ca746a492b51981120815561
S11,[15],Land Berlin,IKT-Vorfall im Landesnetz Berlin,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2026/pressemitteilung.1703898.php,2026-08-17,B,government,2026-09-24,a980126e162fd1b4ec37933445d4d8d7391d6f1e424f5f14749a472e2043b6c6
S13,[9],Land Berlin,Der Regierende Bürgermeister Kai Wegner und Innensenatorin Iris Spranger: „Das Land Berlin lässt sich nicht erpressen“,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2026/pressemitteilung.1708208.php,2026-08-28,B,government,2026-09-24,d4affbc8807195da4217f95561dd5a36825bc292247b9dd4eca4dc7c3ffdcabc
S14,[12],heise online,BSI warnt nach Daten-Leak vor erhöhter Cyber-Bedrohung,https://www.heise.de/news/BSI-warnt-nach-Daten-Leak-vor-erhoehter-Cyber-Bedrohung-11442510.html,2026-09-05,B,secondary,2026-09-24,7f98af4437474abd73e70fa0f3573a72de4eefe6c3fa5d4028e0660bba615432
S15,[8],BSI,BSI on Mastodon: involvement in the Berlin incident response and TerminalFix advisory,https://social.bund.de/@bsi/117212729947889443,2026-09-04,A,government,2026-09-24,cd7c3fee648d3d5cc3a0d23448c8cb241b761b416e6a515344651c8b6aab03da
S16,[16],BSI,BSI on Mastodon: follow-up attack risks after the Berlin Senate data theft,https://social.bund.de/@bsi/117262792504611874,2026-09-13,A,government,2026-09-24,424f43c906ad55c7f33530447ce48e2f6b752b2be5d701ec9aa3092a63529eb5
S17,[13],Dark Reading,'Lorem Ipsum' Malware Pivots to ClickFix Delivery,https://www.darkreading.com/cyberattacks-data-breaches/lorem-ipsum-malware-clickfix-delivery,2026-06-16,B,secondary,2026-09-24,98c461f9ddf533b1a8dddaf75fcf13bad502c95f7aa8e29ade142900d6b1c519
S19,[10],Land Berlin,Cyberangriff auf das Landesnetz: Informationen für Bürgerinnen und Bürger,https://www.berlin.de/cyberangriff/informationen-fuer-buergerinnen-und-buerger/,2026-09-14,B,government,2026-09-24,85e43e252bca4eeb279a0b53789c3512cf394bd5a1ecc498a42347aea98af1b7
